Disease,Symptoms
الالتهاب الرئوي,الشعور بالتعب ارتفاع معدل ضربات القلب الم في الصدر السعال قشعريره ضيق التنفس التعرق صدئ البلغم
نزلات البرد,احمرار العين صدئ البلغم صداع الشعور بالتعب الم في الصدر سيلان الأنف احتقان فقدان حاسة الشم تضخم الغدد الليمفاوية 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم الغثيان القئ
نزلات البرد,حمى شديدة صداع قشعريرة سيلان الأنف احتقان الم في الصدر الشعور بالتعب فقدان حاسة الشم الم عضلي صدئ البلغم 
الالتهاب الرئوي,ضيق التنفس السعال ارتفاع درجة الحرارة قشعريره صدئ البلغم الم في الصدر الخمول
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم القئ الانتفاخ
الالتهاب الرئوي,الم في الصدر السعال ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب الخمول
نزلات البرد,صداع احمرار العين احتقان فقدان حاسة الشم الم عضلي صدئ البلغم الشعور بالتعب الم في الصدر حمى شديدة
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم الغثيان الانتفاخ
نزلات البرد,صداع احمرار العين احتقان الشعور بالتعب صدئ البلغم الم في الصدر قشعريرة فقدان حاسة الشم
الفشل الكلوي, انخفاض اخراج البول القئ احتباس السوائل 
نزلات البرد,الم في الصدر فقدان حاسة الشم الم عضلي سيلان الأنف احتقان صداع الشعور بالتعب
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان صداع مزمن الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ
نزلات البرد,الم في الصدر سيلان الأنف صداع صدئ البلغم فقدان حاسة الشم الشعور بالتعب احتقان 
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات صداع مزمن الم في المفاصل صداع مزمن
نزلات البرد,سيلان الأنف احتقان الشعور بالتعب السعال الم في الصدر صداع فقدان حاسة الشم صدئ البلغم 
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الانتفاخ التجشؤ
نزلات البرد,الم في الصدر الشعور بالتعب قشعريرة تهيج الحلق صداع احتقان الم عضلي احمرار العين فقدان حاسة الشم صدئ البلغم 
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ التجشؤ
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات صداع مزمن الم في المفاصل فقدان الشهية 
الالتهاب الرئوي, ارتفاع معدل ضربات القلب الم في الصدر الخمول السعال ضيق التنفس صدئ البلغم
نزلات البرد,تضخم الغدد الليمفاوية الم في الصدر فقدان حاسة الشم الم عضلي صدئ البلغم احتقان صداع الشعور بالتعب سيلان الأنف
الالتهاب الرئوي,الخمول السعال الم في الصدر ضيق التنفس ارتفاع معدل ضربات القلب التعرق
فيرس سي, الشعور بالغثيان الم في البطن اصفرار الجلد القيء الم في العضلات الم في المفاصل 
فيرس سي, الم في المفاصل الشعور بالتعب القيء الم في العضلات فقدان الشهية اصفرار العينين
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء صداع مزمن الم في العضلات 
نزلات البرد, الم في الصدر الشعور بالتعب صداع تضخم الغدد الليمفاوية صدئ البلغم تهيج الحلق احتقان فقدان حاسة الشم سيلان الأنف
نزلات البرد,صداع الشعور بالتعب السعال حمى شديدة احتقان الم في الصدر صدئ البلغم فقدان حاسة الشم حمى شديدة 
الالتهاب الرئوي,الم في الصدر السعال قشعريره ضيق التنفس التعرق ارتفاع معدل ضربات القلب صدئ البلغم
الالتهاب الرئوي,الشعور بالتعب ارتفاع درجة الحرارة الم في الصدر قشعريره السعال ضيق التنفس صدئ البلغم
فيرس سي, الم في العضلات الم في المفاصل اصفرار الجلد الشعور بالغثيان القيء 
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ احتباس السوائل 
نزلات البرد,الم عضلي صداع الم في الصدر الشعور بالتعب احتقان فقدان حاسة الشم صدئ البلغم قشعريرة تضخم الغدد الليمفاوية
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الشعور بالتعب
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ تورم القدمين 
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ التجشؤ
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الشعور بالتعب فقدان الشهية 
نزلات البرد, حمى شديدة قشعريرة الشعور بالتعب فقدان حاسة الشم احتقان صداع الم في الصدر صدئ البلغم سيلان الأنف 
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار الجلد الشعور بالغثيان القيء 
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ الخمول احتباس السوائل 
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ الانتفاخ التجشؤ
فيرس سي, الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين الم في البطن القيء 
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية القيء 
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ الخمول الغثيان 
نزلات البرد, فقدان حاسة الشم صدئ البلغم صداع احمرار العين الشعور بالتعب سيلان الأنف احتقان الم في الصدر حمى شديدة
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان التجشؤ
نزلات البرد,قشعريرة السعال حمى شديدة صداع الم في الصدر فقدان حاسة الشم تضخم الغدد الليمفاوية الشعور بالتعب صدئ البلغم احتقان 
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء صداع مزمن الم في العضلات الم في المفاصل فقدان الشهية اصفرار العينين
نزلات البرد,قشعريرة الشعور بالتعب السعال احتقان الم في الصدر صداع تضخم الغدد الليمفاوية صدئ البلغم فقدان حاسة الشم 
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ الانتفاخ
الفشل الكلوي, انخفاض اخراج البول القئ الخمول 
الالتهاب الرئوي, ارتفاع معدل ضربات القلب الم في الصدر قشعريره السعال ضيق التنفس صدئ البلغم
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء اصفرار العينين صداع مزمن
الفشل الكلوي, انخفاض اخراج البول القئ تورم القدمين الغثيان احتباس السوائل 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم القئ التجشؤ
الفشل الكلوي, انخفاض اخراج البول القئ تورم القدمين الخمول احتباس السوائل 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم الغثيان القئ الانتفاخ
نزلات البرد,احمرار العين الم في الصدر صداع احتقان الشعور بالتعب السعال فقدان حاسة الشم صدئ البلغم 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم الانتفاخ التجشؤ
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان التجشؤ
نزلات البرد,فقدان حاسة الشم صداع الشعور بالتعب احتقان صدئ البلغم تهيج الحلق الم في الصدر تضخم الغدد الليمفاوية
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ
فيرس سي, الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين القيء 
الفشل الكلوي, انخفاض اخراج البول القئ تورم القدمين الخمول احتباس السوائل الغثيان 
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء صداع مزمن الم في العضلات فقدان الشهية اصفرار العينين
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الغثيان
نزلات البرد,سيلان الأنف احتقان الشعور بالتعب الم في الصدر صداع فقدان حاسة الشم صدئ البلغم فقدان حاسة الشم ضغط الجيوب الأنفية
الالتهاب الرئوي,الم في الصدر السعال ارتفاع درجة الحرارة ضيق التنفس التعرق ارتفاع معدل ضربات القلب صدئ البلغم الخمول
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم الغثيان القئ التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس الم فى الصدر 
نزلات البرد,حمى شديدة صداع صدئ البلغم تهيج الحلق الم في الصدر الشعور بالتعب احتقان تضخم الغدد الليمفاوية فقدان حاسة الشم
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم القئ الانتفاخ التجشؤ
نزلات البرد, احمرار العين صداع قشعريرة الشعور بالتعب احتقان صدئ البلغم تضخم الغدد الليمفاوية الم في الصدر فقدان حاسة الشم
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع فقر الدم الغثيان الانتفاخ التجشؤ
نزلات البرد,احتقان الم في الصدر قشعريرة الشعور بالتعب السعال صدئ البلغم صداع فقدان حاسة الشم ضغط الجيوب الأنفية
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي الغثيان القئ الانتفاخ التجشؤ
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الشعور بالتعب فقدان الشهية اصفرار العينين
نزلات البرد,السعال احمرار العين الشعور بالتعب صداع احتقان الم في الصدر الم عضلي صدئ البلغم فقدان حاسة الشم تهيج الحلق
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي الغثيان
الفشل الكلوي, انخفاض اخراج البول القئ تورم القدمين الغثيان 
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس القئ 
نزلات البرد,ضغط الجيوب الأنفية احتقان الشعور بالتعب صداع السعال صدئ البلغم الم في الصدر فقدان حاسة الشم قشعريرة 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس انخفاض اخراج البول
نزلات البرد,حمى شديدة صداع تهيج الحلق احمرار العين فقدان حاسة الشم الشعور بالتعب الم في الصدر احتقان صدئ البلغم
نزلات البرد,فقدان حاسة الشم صداع الشعور بالتعب احتقان صدئ البلغم تهيج الحلق الم في الصدر
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم التجشؤ
الفشل الكلوي, انخفاض اخراج البول القئ الخمول الغثيان 
نزلات البرد,الم عضلي ضغط الجيوب الأنفية صداع احتقان الم في الصدر الشعور بالتعب السعال صدئ البلغم فقدان حاسة الشم
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي الانتفاخ
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ تورم القدمين الغثيان احتباس السوائل الخمول 
نزلات البرد,تهيج الحلق الشعور بالتعب قشعريرة صداع احتقان الم في الصدر سيلان الأنف صدئ البلغم فقدان حاسة الشم احمرار العين 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي القئ
الفشل الكلوي, انخفاض اخراج البول القئ تورم القدمين احتباس السوائل 
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان القيء 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول الم فى الصدر 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم الغثيان الانتفاخ
الفشل الكلوي, انخفاض اخراج البول القئ الخمول احتباس السوائل 
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الغثيان القئ التجشؤ
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس القئ 
نزلات البرد,تضخم الغدد الليمفاوية احتقان الم في الصدر فقدان حاسة الشم الم عضلي الشعور بالتعب السعال حمى شديدة صداع صدئ البلغم 
الالتهاب الرئوي,الخمول السعال الم في الصدر ضيق التنفس ارتفاع ضغط الدم ارتفاع معدل ضربات القلب التعرق
فيرس سي,صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في المفاصل الشعور بالتعب فقدان الشهية 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم القئ الانتفاخ
الفشل الكلوي,انخفاض اخراج البول الخمول تورم القدمين الغثيان 
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء صداع مزمن الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في المفاصل الشعور بالتعب صداع مزمن
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان انخفاض اخراج البول ضيق التنفس القئ 
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الغثيان الانتفاخ التجشؤ
الالتهاب الرئوي,الم في الصدر السعال قشعريره ضيق التنفس التعرق ارتفاع ضغط الدم ارتفاع معدل ضربات القلب صدئ البلغم
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس الم فى الصدر 
نزلات البرد,قشعريرة الشعور بالتعب الم في الصدر سيلان الأنف صداع صدئ البلغم تهيج الحلق فقدان حاسة الشم احتقان 
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الشعور بالتعب فقدان الشهية اصفرار العينين
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ارتفاع معدل ضربات القلب
نزلات البرد,احمرار العين صداع الشعور بالتعب السعال احتقان الم في الصدر صدئ البلغم تهيج الحلق فقدان حاسة الشم
قرحة المعدة,فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم
الفشل الكلوي,تورم القدمين انخفاض اخراج البول الم فى الصدر
نزلات البرد,فقدان حاسة الشم الم في الصدر الشعور بالتعب صداع صدئ البلغم الم في الصدر سيلان الأنف احتقان 
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول ارتفاع معدل ضربات القلب
فيرس سي,صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان الم في العضلات الم في المفاصل
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل انخفاض اخراج البول القئ
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم القئ الانتفاخ
نزلات البرد,ضغط الجيوب الأنفية تهيج الحلق احمرار العين الشعور بالتعب صداع صدئ البلغم احتقان الم في الصدر الم عضلي فقدان حاسة الشم
فيرس سي,صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في المفاصل
الفشل الكلوي,تورم القدمين احتباس السوائل ارتفاع معدل ضربات القلب
نزلات البرد,صداع صدئ البلغم الم في الصدر الشعور بالتعب فقدان حاسة الشم سيلان الأنف احتقان حمى شديدة 
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر ارتفاع معدل ضربات القلب
فيرس سي,صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية 
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم الغثيان القئ الانتفاخ التجشؤ
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس ارتفاع معدل ضربات القلب
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان الم في العضلات الم في المفاصل الشعور بالتعب صداع مزمن
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم التجشؤ
الفشل الكلوي,انخفاض اخراج البول الخمول تورم القدمين احتباس السوائل 
فيرس سي, الم في البطن اصفرار الجلد الشعور بالغثيان صداع مزمن الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين
فيرس سي, الم في العضلات الم في المفاصل الشعور بالتعب فقدان الشهية اصفرار العينين صداع مزمن الم في البطن اصفرار الجلد الشعور بالغثيان 
الفشل الكلوي,انخفاض اخراج البول الخمول تورم القدمين احتباس السوائل الغثيان
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية القيء الدموي فقر الدم القئ
الفشل الكلوي,انخفاض اخراج البول احتباس السوائل تورم القدمين  الغثيان 
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في المفاصل
الالتهاب الرئوي,قشعريره السعال ارتفاع درجة الحرارة ضيق التنفس ارتفاع ضغط الدم التعرق صدئ البلغم ارتفاع معدل ضربات القلب الم في الصدر
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الغثيان
الالتهاب الرئوي,الم في الصدر الخمول السعال ارتفاع ضغط الدم ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب
نزلات البرد,تهيج الحلق الشعور بالتعب صداع فقدان حاسة الشم احتقان صدئ البلغم الم في الصدر احمرار العين
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم
الالتهاب الرئوي,ارتفاع درجة الحرارة صدئ البلغم ارتفاع ضغط الدم ارتفاع معدل ضربات القلب ضيق التنفس السعال الخمول الم في الصدر
الفشل الكلوي, ارتفاع معدل ضربات القلب انخفاض اخراج البول الم فى الصدر القئ ضيق التنفس الغثيان تورم القدمين
قرحة المعدة,الم في المعدة فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الانتفاخ
فيرس سي,الم في البطن اصفرار الجلد الشعور بالغثيان القيء الم في العضلات الشعور بالتعب فقدان الشهية اصفرار العينين
الالتهاب الرئوي, ارتفاع معدل ضربات القلب ارتفاع ضغط الدم الم في الصدر الخمول السعال ضيق التنفس صدئ البلغم
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي الغثيان الانتفاخ التجشؤ
الالتهاب الرئوي, ارتفاع معدل ضربات القلب الم في الصدر الشعور بالتعب السعال ضيق التنفس صدئ البلغم ارتفاع ضغط الدم
فيرس سي, فقدان الشهية اصفرار العينين الم في البطن اصفرار الجلد الشعور بالغثيان 
الالتهاب الرئوي,الخمول السعال ارتفاع درجة الحرارة ارتفاع ضغط الدم ضيق التنفس ارتفاع معدل ضربات القلب الم في الصدر
قرحة المعدة,الم في المعدة فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي القئ الانتفاخ التجشؤ
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان ضيق التنفس
نزلات البرد,تهيج الحلق الشعور بالتعب صداع فقدان حاسة الشم احتقان صدئ البلغم الم في الصدر
الالتهاب الرئوي,ارتفاع ضغط الدم الم في الصدر الشعور بالتعب السعال ضيق التنفس التعرق صدئ البلغم ارتفاع معدل ضربات القلب
قرحة المعدة,الم في المعدة فقدان الوزن الشعور بالشبع القيء الدموي فقر الدم الانتفاخ
الالتهاب الرئوي, ارتفاع ضغط الدم ضيق التنفس الشعور بالتعب السعال ارتفاع درجة الحرارة قشعريره صدئ البلغم الم في الصدر الخمول
الفشل الكلوي,تورم القدمين احتباس السوائل الغثيان الخمول انخفاض اخراج البول ضيق التنفس القئ الم فى الصدر 
فيرس سي, اصفرار الجلد الشعور بالغثيان فقدان الشهية اصفرار العينين الم في البطن صداع مزمن
الفشل الكلوي,ضيق التنفس انخفاض اخراج البول القئ ارتفاع معدل ضربات القلب الخمول احتباس السوائل تورم القدمين الغثيان 
قرحة المعدة,فقدان الوزن فقدان الشهية الشعور بالشبع القيء الدموي فقر الدم الانتفاخ
الالتهاب الرئوي,الشعور بالتعب السعال ارتفاع ضغط الدم الم في الصدر ضيق التنفس ارتفاع معدل ضربات القلب التعرق قشعريره
الفشل الكلوي,تورم القدمين انخفاض اخراج البول ضيق التنفس انخفاض اخراج البول
الالتهاب الرئوي,ارتفاع ضغط الدم الخمول السعال ارتفاع درجة الحرارة ضيق التنفس ارتفاع معدل ضربات القلب الم في الصدر
